City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,gaigeturi,33.4644,126.3183,28.03,69,40,4.12,KR,1687974712
152,xuanzhou,30.9525,118.7553,26.83,78,100,2.21,CN,1687974712
153,chibougamau,49.9168,-74.3659,16.79,88,100,2.57,CA,1687974712
154,williams lake,52.1415,-122.1445,28.92,42,40,2.06,CA,1687974414
155,saint-francois,46.4154,3.9054,26.69,41,0,1.54,FR,1687974471
156,virginia,37.5481,-77.4467,28.76,58,75,3.6,US,1687974682
157,isangel,-19.55,169.2667,20.08,70,6,3.93,VU,1687974713
158,roma,43.2128,-75.4557,18.86,95,100,4.63,US,1687974713
159,mahajanga,-15.7167,46.3167,22.01,83,20,2.06,MG,1687974713
160,manicore,-5.8092,-61.3003,35.13,32,7,2.18,BR,1687974714
161,olinda,-8.0089,-34.8553,27.85,74,75,6.69,BR,1687974714
162,lloydminster,53.2835,-110.0016,21.12,49,20,3.09,CA,1687974714
163,sitka,57.0531,-135.33,14.94,88,75,2.06,US,1687974457
164,chapaev,50.2,51.1667,20.15,50,64,3.57,KZ,1687974714
165,christchurch,-43.5333,172.6333,9.95,91,100,4.12,NZ,1687974595
166,port moresby,-9.4431,147.1797,23.29,83,62,2.76,PG,1687974715
167,livingston,55.9029,-3.5226,19.0,65,40,4.12,GB,1687974715
168,sarmiento,-45.5882,-69.07,5.67,60,40,1.77,AR,1687974715
169,vadso,70.0744,29.7487,10.49,81,75,5.14,NO,1687974715
170,insar,53.8653,44.3738,13.96,88,46,2.46,RU,1687974716
171,las tablas,7.7667,-80.2833,30.2,70,95,4.6,PA,1687974716
172,biddinghuizen,52.455,5.6931,22.22,79,100,0.78,NL,1687974716
173,akureyri,65.6835,-18.0878,8.96,93,75,5.14,IS,1687974716
174,si sa ket,14.8333,104.3333,29.01,72,62,2.62,TH,1687974716
175,moapa valley,36.5805,-114.4703,33.08,7,8,3.69,US,1687974717
176,puerto la cruz,10.2167,-64.6167,29.11,69,95,4.35,VE,1687974717
177,tolanaro,-25.0319,46.9987,18.04,88,40,0.0,MG,1687974717
178,cabedelo,-6.9811,-34.8339,27.37,83,15,7.11,BR,1687974717
179,zhezqazghan,47.7833,67.7667,19.38,28,38,3.12,KZ,1687974718
180,brasileia,-11.0161,-68.7481,34.25,55,75,1.54,BR,1687974718
181,castillos,-34.1667,-53.8333,14.72,47,9,5.39,UY,1687974718
182,carnarvon,-24.8667,113.6333,14.22,47,0,7.87,AU,1687974718
183,whitehorse,60.7161,-135.0538,18.94,52,75,6.17,CA,1687974509
